100,King David was a Shepherd,TRUE
100,Jesus turned water into wine at a wedding in Cana,TRUE
200,Moses built the Ark to survive the flood,FALSE
200,The Bible has 66 books in total,TRUE
200,Paul was one of the original twelve disciples,FALSE
200,King David killed Goliath with a sling and a stone,TRUE
100,The Book of Revelation is the first book of the New Testament,FALSE
300,The Ten Commandments were given to Moses on Mount Sinai,TRUE
200,Jesus was baptized by John the Apostle,FALSE
100,The Bible was originally written in English,FALSE
200,Noah took two of every kind of animal onto the Ark,TRUE
400,Jesus was born in the city of Nazareth,FALSE
500,The Book of Job is considered one of the oldest books in the Bible,TRUE
300,John the Baptist was a cousin of Jesus,TRUE
