300,"""Observe the Sabbath Day by keeping it holy, as the Lord your God has commanded you.""",Deuteronomy 5:12
200,"""Remember the Sabbath day by keeping it holy…",Exodus 20:8
400,"""My servant Dad will be king over them, and they will all have one shepherd. They will follow my laws and be careful to keep my decrees""",Ezekeil 37:24
500,"""For you have heard of my previous way of life in Judaism, how intensely I persecuted the church of God and tried to destroy it""",Galatians 1:13
400,"""I am astonished that you are so quickly deserting the one ... As we have already said, so now I say again: If anybody is preaching to you a gospel other than what you accepted, let him be under God's curse""",Galatians 1:6-9
100,In the beginning there was light…,Genesis 1:1
500,"""In the case of a will, it is necessary to prove the death of the one who made it, because a will is in force only when somebody has died; it never takes effect while the one who made it is living""",Hebrews 9:16
200,"""so Christ was sacrificed once to take away the sins of many; and he will appear a second time...""",Hebrews 9:28
500,"""So do not fear, for I am with you; Do not be dismayed,  for I am your God. Will strengthen you and help you; I will uphold you with my righteous hand""",Isaiah 41:10
300,"Blessed is the one who does this-- the person who holds it fast, who keeps the Sabbath without desecrating it, and keeps their hands from doing any evil.",Isaiah 56:2
500,"""Am I only a God nearby"" declares the Lord ""and not a God far away?""",Jeremiah 23:23
400,"""The days are coming,"" declares the Lord, ""when I will make a new covenant with the people of Israel and with the people of Judah.",Jeremiah 31:31
100,Whoever eats my flesh and blood has Eternal Life?,John 6:53-54
300,"Whoever believes and is baptized will be saved, but whoever does not believe will be condemned.",Mark 16:16
300,"""Jesus spoke again in parables, saying: The kingdom of Heaven is like a king who prepared a wedding banquets for his son.""",Matthew 22:1-2
200,"While they were eating, Jesus took bread, and when he had given thanks, he broke it and gave it to his disciples, saying, “Take and eat; this is my body.”",Matthew 26:26
200,"Then he took a cup, and when he had given thanks, he gave it to them, saying, “Drink from it, all of you. This is my blood of the covenant, which is poured out for many for the forgiveness of sins.",Matthew 26:27-28
100,This then is how you should pray: 'Our father in Heaven…,Matthew 6:9
200,"But go and learn what this means: 'I desire mercy, not sacrifice.' For I have not come to call the righteous, but sinners.",Matthew 9:13
400,"""While the Israelites were in the wilderness, a man was found gathering wood on the Sabbath day""",Numbers 15:32
400,Like clouds and wind without rain is one who boasts of gifts never given.,Proverbs 25:14
100,The Spirit and the Bride say come…,Revelation 22:17
100,For the wages of sin is death…,Romans 6:23
